Article number;EAN;Description;Stock;ETA-code;ETA confirmed;Article status
08500/81/31;5411212081995;Lucide MODA - Table lamp - Ø 13 cm - 1xE27 - White;68;15.07.2022;;
08500/81/36;5411212082008;Lucide MODA - Table lamp - Ø 13 cm - 1xE27 - Grey;64;15.07.2022;;
08524/01/30;5411212082763;Lucide ARTHUR - Table lamp - 1xE27 - Black;85;;;
08526/01/30;5411212082848;Lucide ZILDA - Table lamp - 1xE27 - Black;41;15.07.2022;;
08527/01/35;5411212082978;Lucide POLA - Table lamp Children - Ø 15 cm - 1xE27 - Blue;0;15.07.2022;08.04.2022;
08527/01/66;5411212082985;Lucide POLA - Table lamp Children - Ø 15 cm - 1xE27 - Pink;0;;08.04.2022;
08724/03/30;5411212082909;Lucide ARTHUR - Floor lamp - 3xE27 - Black;0;15.07.2022;;
08927/01/35;5411212082992;Lucide POLA - Wall spotlight Children - 1xE27 - Blue;85;;;
08927/01/66;5411212083005;Lucide POLA - Wall spotlight Children - 1xE27 - Pink;97;;;
08927/02/35;5411212083012;Lucide POLA - Ceiling spotlight Children - 2xE27 - Blue;70;;;
08927/02/66;5411212083029;Lucide POLA - Ceiling spotlight Children - 2xE27 - Pink;94;;;
09100/01/30;5411212091536;Lucide BODI - Ceiling spotlight - Ø 8 cm - 1xGU10 - Black;1116;;;
09100/01/31;5411212091543;Lucide BODI - Ceiling spotlight - Ø 8 cm - 1xGU10 - White;400;01.06.2022;;
09101/01/30;5411212091567;Lucide BODI - Ceiling spotlight - Ø 8 cm - 1xGU10 - Black;550;;;
09101/01/31;5411212091574;Lucide BODI - Ceiling spotlight - Ø 8 cm - 1xGU10 - White;467;;;
09101/02/12;5411212091581;Lucide BODI - Ceiling spotlight - 2xGU10 - Satin Chrome;0;;;Liquidation
09101/02/30;5411212091628;Lucide BODI - Ceiling spotlight - 2xGU10 - Black;544;;;
09101/02/31;5411212091598;Lucide BODI - Ceiling spotlight - 2xGU10 - White;168;;;
09119/06/30;5411212092281;Lucide XIRAX - Ceiling spotlight - LED Dim to warm - GU10 - 1x5W 2200K/3000K - Black;773;20.08.2022;;
09119/06/31;5411212092298;Lucide XIRAX - Ceiling spotlight - LED Dim to warm - GU10 - 1x5W 2200K/3000K - White;466;;;
09119/11/30;5411212092304;Lucide XIRAX - Ceiling spotlight - LED Dim to warm - GU10 - 2x5W 2200K/3000K - Black;762;20.08.2022;;
09119/11/31;5411212092311;Lucide XIRAX - Ceiling spotlight - LED Dim to warm - GU10 - 2x5W 2200K/3000K - White;471;;;
09119/16/30;5411212092328;Lucide XIRAX - Ceiling spotlight - LED Dim to warm - GU10 - 3x5W 2200K/3000K - Black;508;;;
09119/16/31;5411212092335;Lucide XIRAX - Ceiling spotlight - LED Dim to warm - GU10 - 3x5W 2200K/3000K - White;296;09.07.2022;;
09119/21/30;5411212092342;Lucide XIRAX - Ceiling spotlight - LED Dim to warm - GU10 - 4x5W 2200K/3000K - Black;287;09.07.2022;;
09119/21/31;5411212092359;Lucide XIRAX - Ceiling spotlight - LED Dim to warm - GU10 - 4x5W 2200K/3000K - White;358;;;
