"EAN code";"article number";"availability";"next expected arrival"
"5998250356648";"5664";"available";"2022-08-25"
"5998250356655";"5665";"available";""
"5998250356662";"5666";"available";""
"5998250356679";"5667";"available";""
"5998250356686";"5668";"available";""
"5998250356693";"5669";"available";""
"5998250356709";"5670";"available";""
"5998250356716";"5671";"available";""
"5998250356723";"5672";"available";"2022-06-20"
"5998250356730";"5673";"available";"2022-08-25"
"5998250356747";"5674";"available";"2022-05-20"
"5998250356754";"5675";"available";""
"5998250356761";"5676";"0";""
"5998250356778";"5677";"available";""
"5998250356785";"5678";"available";""
"5998250356792";"5679";"available";""
"5998250356808";"5680";"available";""
"5998250356815";"5681";"available";""
"5998250356822";"5682";"available";""
"5998250356839";"5683";"available";"2022-04-20"
"5998250356846";"5684";"available";"2022-04-20"
"5998250356853";"5685";"available";"2022-04-20"
"5998250356860";"5686";"available";"2022-06-20"
"5998250356884";"5688";"0";""
"5998250356891";"5689";"0";""
"5998250356907";"5690";"0";"2022-02-21"
"5998250356914";"5691";"available";"2022-07-20"
"5998250356921";"5692";"0";"2022-03-16"
"5998250356938";"5693";"available";"2022-03-16"
"5998250356945";"5694";"available";"2022-03-16"
"5998250356952";"5695";"available";""
"5998250356969";"5696";"available";""
"5998250356976";"5697";"available";""
"5998250356983";"5698";"available";"2022-04-20"
"5998250356990";"5699";"available";"2022-04-20"
"5998250357003";"5700";"available";""
"5998250357027";"5702";"available";"2022-06-20"
"5998250357034";"5703";"available";"2022-02-03"
"5998250357041";"5704";"available";"2022-02-03"
"5998250357133";"5713";"0";"2022-04-07"
"5998250357140";"5714";"0";"2022-04-07"
"5998250357164";"5716";"available";"2022-02-21"
"5998250357171";"5717";"available";"2022-02-21"
"5998250357188";"5718";"available";"2022-05-20"
"5998250357195";"5719";"available";"2022-02-21"
"5998250357201";"5720";"available";"2022-05-20"
"5998250357218";"5721";"available";"2022-02-21"
"5998250357232";"5723";"available";""
"5998250357249";"5724";"available";""
"5998250357256";"5725";"available";""
"5998250357263";"5726";"available";"2022-02-25"
"5998250357270";"5727";"available";"2022-02-21"
"5998250357294";"5729";"available";"2022-05-20"
"5998250357300";"5730";"0";"2022-05-20"
"5998250357324";"5732";"available";"2022-02-21"
"5998250357331";"5733";"available";""
"5998250357362";"5736";"2";""
"5998250357379";"5737";"7";""
"5998250357386";"5738";"0";""
"5998250357393";"5739";"available";"2022-03-01"
"5998250357454";"5745";"available";"2022-04-07"
"5998250357461";"5746";"0";"2022-04-07"
"5998250357492";"5749";"0";"2022-04-20"
"5998250357508";"5750";"0";"2022-04-20"
"5998250357577";"5757";"available";"2022-04-20"
"5998250357584";"5758";"available";""
"5998250357591";"5759";"available";""
"5998250357607";"5760";"16";""
"5998250357614";"5761";"5";""
"5998250357645";"5764";"available";""
"5998250357669";"5766";"available";""
"5998250357676";"5767";"available";""
"5998250357683";"5768";"available";""
"5998250357690";"5769";"available";""
"5998250357706";"5770";"available";""
"5998250357713";"5771";"available";""
"5998250357720";"5772";"available";"2022-03-16"
"5998250357737";"5773";"0";""
"5998250357768";"5776";"available";""
"5998250357775";"5777";"available";""
"5998250357782";"5778";"available";""
"5998250357799";"5779";"available";""
"5998250357805";"5780";"available";""
"5998250357812";"5781";"available";"2022-08-25"
"5998250357829";"5782";"available";""
"5998250357836";"5783";"available";""
"5998250357843";"5784";"available";""
"5998250357850";"5785";"available";""
"5998250357867";"5786";"available";"2022-06-20"
"5998250357874";"5787";"0";"2022-04-07"
"5998250357881";"5788";"available";""
"5998250357898";"5789";"available";""
